x,y
172,63
164,60
164,53
161,60
172,66
166,63
170,65
181,68
165,57
172,67
181,68
167,55
179,80
172,65
160,57
161,57
185,82
177,78
163,65
168,66
173,64
172,73
164,60
169,63
167,58
169,62
171,63
167,71
165,67
170,61
175,67
173,66
176,72
172,60
160,62
173,66
171,63
161,51
159,48
163,64
178,73
170,65
156,55
170,66
171,65
174,68
162,56
167,65
169,71
171,62
166,57
159,57
175,59
159,55
168,50
173,77
165,55
156,54
167,61
164,60
165,68
162,55
177,72
171,66
162,65
171,62
164,59
173,77
170,65
170,61
166,67
157,53
170,61
169,62
168,61
166,55
164,70
175,66
167,59
180,76
165,67
169,62
176,65
167,60
172,64
163,65
169,66
168,65
156,53
164,57
174,73
163,58
167,63
165,63
173,77
161,55
163,63
166,57
164,57
167,65
